DatGeracaoConjuntoDados;SigIndicador;DscIndicador
2026-03-05;NMOPTJ;Número de mortes de decorrentes de acidentes do trabalho - Próprio Trajet
2026-03-05;NMOPTP;Número de mortes de decorrentes de acidentes do trabalho - Próprio Típico
2026-03-05;NMOTDO;Número de mortes de decorrentes de acidentes do trabalho - Terceirizado Doença
2026-03-05;NMOTER;Número de mortes decorrentes de acidentes com terceiros envolvendo a rede elétri
2026-03-05;NMOTERANT;Nº mortes terc rede e demais instal - Antena de TV;
2026-03-05;NMOTERCFE;Nº mortes terc rede e demais instal - Cabo energizado no solo ou falha de equip
2026-03-05;NMOTERCHO;Nº mortes terc rede e demais instal - Choque elétrico por contato;
2026-03-05;NMOTERCLN;Nº mortes terc rede e demais instal - Ligações clandestinas;
2026-03-05;NMOTERCMP;Nº mortes terc rede e demais instal - Construção e manutenção predial;
2026-03-05;NMOTERFUR;Nº mortes terc rede e demais instal - Furto de cabos e/ou outros equip
2026-03-05;NMOTERGUI;Nº mortes terc rede e demais instal - Operação de guindaste
2026-03-05;NMOTEROUT;Nº mortes terc rede e demais instal - Outros.
2026-03-05;NMOTERPIP;Nº mortes terc rede e demais instal - Pipa;
2026-03-05;NMOTERPOD;Nº mortes terc rede e demais instal - Poda de árvore;
2026-03-05;NMOTERPST;Nº mortes terc rede e demais instal - Abalroamento de poste e/ou demais inst
2026-03-05;NMOTERTVC;Nº mortes terc rede e demais instal - Serviços de TV a cabo e telef
2026-03-05;NMOTTJ;Número de mortes de decorrentes de acidentes do trabalho - Terceirizado Trajeto
2026-03-05;NMOTTP;Número de mortes de decorrentes de acidentes do trabalho - Terceirizado Típico
2026-03-05;NUCTCO;Total de unidades consumidoras comercial MT e BT
2026-03-05;NUCTIN;Total de unidades consumidoras industrial MT e BT
2026-03-05;NUCTOU;Total de unidades consumidoras de outras classes  MT e BT
2026-03-05;NUCTRE;Total de unidades consumidoras residencial MT e BT
2026-03-05;NUCTRU;Total de unidades consumidoras rural MT e BT
2026-03-05;NumCon;Número de Consumidores do Conjunto no Período
2026-03-05;NumConsAgt;Número de Consumidores do Distribuidor no Período
2026-03-05;NumOcorr;Número de Ocorrencias Emergenciais no Conjunto no Período
2026-03-05;PGUCAT;Valor pago a UCs AT por violacao dos limites de continuidade no mes
2026-03-05;PGUCATA;Valor pago a UCs AT por violacao dos limites de cont no ano
2026-03-05;PGUCATDC;Valor pago as UCs AT por violacao dos limites de DICRI
2026-03-05;PGUCATT;Valor pago a UCs AT por violacao dos limites de cont no trimestre
2026-03-05;PGUCBTNU;Valor pago a UCs BT não urbanas por violacao dos limites de cont no mes
2026-03-05;PGUCBTNUA;Valor pago a UCs BT não urbanas por violacao dos limites de cont no ano
2026-03-05;PGUCBTNUDC;Valor pago as UCs BT não urbanas por violacao dos limites de DICRI
2026-03-05;PGUCBTNUT;Valor pago a UCs BT não urbanas por violacao dos limites de cont no trimestre
2026-03-05;PGUCBTU;Valor pago a UCs BT urbanas por violacao dos limites de continuidade no mes
2026-03-05;PGUCBTUA;Valor pago a UCs BT urbanas por violacao dos limites de cont no ano
2026-03-05;PGUCBTUDC;Valor pago as UCs BT urbanas por violacao dos limites de DICRI
2026-03-05;PGUCBTUT;Valor pago a UCs BT urbanas por violacao dos limites de cont no trimestre
2026-03-05;PGUCMTNU;Valor pago a UCs MT não urbanas por violacao dos limites de cont no mes
2026-03-05;PGUCMTNUA;Valor pago a UCs MT não urbanas por violacao dos limites de cont no ano
2026-03-05;PGUCMTNUDC;Valor pago as UCs MT não urbanas por violacao dos limites de DICRI
2026-03-05;PGUCMTNUT;Valor pago a UCs MT não urbanas por violacao dos limites de cont no trimestre
2026-03-05;PGUCMTU;Valor pago a UCs MT urbanas por violacao dos limites de continuidade no mes
2026-03-05;PGUCMTUA;Valor pago a UCs MT urbanas por violacao dos limites de cont no ano
2026-03-05;PGUCMTUDC;Valor pago as UCs MT urbanas por violacao dos limites de DICRI
2026-03-05;PGUCMTUT;Valor pago a UCs MT urbanas por violacao dos limites de cont no trimestre
2026-03-05;PGUCTRP;Valor pago a UCs por violacao dos limites de tensao em regime permanente
2026-03-05;PGUCTRPA;Valor pago a UCs por violação limites de tensão em regime perm–med.amostral
2026-03-05;PGUCTRPE;Valor pago a UCs por violação limites de tensão em regime perm–med.eventual
2026-03-05;PGUCTRPP;Valor pago a UCs por violação limites de tensão em regime perm–med.amostral
2026-03-05;PGUGAT;Valor pago a UGs AT por violacao dos limites de continuidade no mes
2026-03-05;PGUGATA;Valor pago a UGs AT por violacao dos limites de cont no ano
